feature,shap_medio_abs,familia
ICULOS,0.46411359612539116,Contexto administrativo
FiO2_ult,0.27267784066514394,Estado fisiológico
HospAdmTime,0.16922286028183703,Contexto administrativo
Unit2,0.15155466095310163,Contexto administrativo
Lactate_edad,0.11533653098655026,Práctica de medición
FiO2_edad,0.11318628702840365,Práctica de medición
Temp_max_6h,0.1111332967630827,Estado fisiológico
Resp_media_24h,0.10364174332717412,Estado fisiológico
horas_en_hospital,0.09706929743572511,Contexto administrativo
BUN_ult,0.0968807604208096,Estado fisiológico
WBC_ult,0.09419988775750278,Estado fisiológico
n_labs_6h,0.08093443817130991,Práctica de medición
Temp_ult,0.06947601024724678,Estado fisiológico
Creatinine_ult,0.06545416892554302,Estado fisiológico
n_vitales_24h,0.05137841857148513,Práctica de medición
Platelets_ult,0.05114261662999419,Estado fisiológico
MAP_min_6h,0.05067690720973285,Estado fisiológico
SBP_min_6h,0.04739145669310782,Estado fisiológico
Alkalinephos_edad,0.043531334535639184,Práctica de medición
HR_max_6h,0.04321738944903744,Estado fisiológico
HCO3_ult,0.042496809678042376,Estado fisiológico
Bilirubin_total_edad,0.040035235876457353,Práctica de medición
PaCO2_ult,0.03957372220257483,Estado fisiológico
EtCO2_medido,0.039454836663921855,Práctica de medición
HR_ult,0.03598819461025052,Estado fisiológico
Temp_max_24h,0.03541216453550904,Estado fisiológico
HR_media_24h,0.033560473785624156,Estado fisiológico
Hgb_ult,0.031428321391049764,Estado fisiológico
Alkalinephos_ult,0.030993576072384343,Estado fisiológico
HR_delta_basal,0.03087127082607744,Estado fisiológico
SBP_media_24h,0.029485447109936537,Estado fisiológico
SBP_pend_6h,0.02899508845670674,Estado fisiológico
PTT_ult,0.02788516289372257,Estado fisiológico
O2Sat_min_6h,0.027748738170631934,Estado fisiológico
HR_pend_6h,0.026829791710283376,Estado fisiológico
n_vitales_6h,0.025954527444146867,Práctica de medición
Resp_min_24h,0.025928658424782952,Estado fisiológico
AST_edad,0.025555064629812444,Práctica de medición
Temp_media_6h,0.02340381692118714,Estado fisiológico
Lactate_ult,0.022480529193151216,Estado fisiológico
sirs_total,0.022029683618781944,Estado fisiológico
DBP_media_6h,0.021898252523873864,Estado fisiológico
SBP_std_6h,0.02094175990454079,Estado fisiológico
SBP_delta_basal,0.02088794100940108,Estado fisiológico
O2Sat_std_6h,0.020791871867308832,Estado fisiológico
MAP_media_24h,0.020776152701579377,Estado fisiológico
Age,0.0206277718260179,Contexto administrativo
Chloride_ult,0.019787068442462405,Estado fisiológico
Potassium_ult,0.019710011445708518,Estado fisiológico
Temp_media_24h,0.019221866317053162,Estado fisiológico
Hct_ult,0.018808917720604074,Estado fisiológico
DBP_pend_6h,0.018473265958817906,Estado fisiológico
Resp_media_6h,0.017933918619340277,Estado fisiológico
ratio_bun_creat,0.01688071011808086,Estado fisiológico
Potassium_edad,0.015713022079651952,Práctica de medición
MAP_pend_24h,0.015705660372417062,Estado fisiológico
O2Sat_media_24h,0.015510770002735859,Estado fisiológico
Bilirubin_total_ult,0.015168767278888967,Estado fisiológico
DBP_ult,0.015082662328525271,Estado fisiológico
